CÓDIGO,NOMBRE,MODALIDAD,CATEGORIA,DIRECCIÓN,LOCALIDAD,ZONA,PLAZAS,COORDENADAS
UAT00704,22 Caldereros,Apartamento Turístico,Segunda/2 Llaves,Calle Caldereria 22 2º,PAMPLONA,Cuenca de Pamplona,3.0,"(42.81825260000001, -1.6420324)"
UH000678,A Pamplona,Hotel,2 Estrellas,Calle Sancho Ramirez 15,PAMPLONA,Cuenca de Pamplona,24.0,"(42.8072773, -1.6649481)"
UH000645,Abba Reino de Navarra,Hotel,4 Estrellas,Calle Acella 1,PAMPLONA,Cuenca de Pamplona,176.0,"(42.8085463, -1.6607907)"
UHS00856,Abodi II,Hostal,HsG,Calle Sancho Ramírez 31,PAMPLONA,Cuenca de Pamplona,8.0,"(42.8082357, -1.6662554)"
UH000503,AC Ciudad de Pamplona,Hotel,4 Estrellas,Iturrama 21,PAMPLONA,Cuenca de Pamplona,178.0,"(42.8045626, -1.6524894)"
UHS00758,Acella 4,Hostal,HsG,Pintor Paret 2 2º E,PAMPLONA,Cuenca de Pamplona,16.0,"(42.80842699999999, -1.6604504)"
UPE00655,Acella II,Pensión,P**,Travesía Acella 3 ,PAMPLONA,Cuenca de Pamplona,7.0,"(42.8063859, -1.6633542)"
UAB00106,Albergue Plaza Catedral,Albergue turístico,del Camino de Santiago,Calle Navarreria 35,PAMPLONA,Cuenca de Pamplona,45.0,"(42.8196562, -1.6420518)"
UH000652,Albret,Hotel,4 Estrellas,Ermitagaña 3,PAMPLONA,Cuenca de Pamplona,212.0,"(42.8097535, -1.669261)"
UAT00671,Alisol,Apartamento Turístico,Tercera/1 Llave,Calle San Gregorio 14,PAMPLONA,Cuenca de Pamplona,2.0,"(40.4241122, -3.6969734)"
UH000880,Alma Pamplona,Hotel,5 Estrellas,Calle Beloso Bajo 11,PAMPLONA,Cuenca de Pamplona,118.0,"(42.8197515, -1.6239049)"
UAT00386,Aloha,Apartamento Turístico,Segunda/2 Llaves,Pl. del Castillo 49 4ºA,PAMPLONA,Cuenca de Pamplona,6.0,"(42.8175568, -1.6429613)"
UAB00060,Aloha Hostel,Albergue turístico,2ª Categoria,Sangüesa 2 -1º,PAMPLONA,Cuenca de Pamplona,26.0,"(42.5767441, -1.2851532)"
