CÓDIGO,NOMBRE,CATEGORÍA,ESTILO,LOCALIDAD,ZONA,COORDENADAS
5020400,Archivo Real y General de Navarra,Castillos/Palacios,no definido,PAMPLONA,Cuenca de Pamplona,"(42.8201142, -1.6444451)"
5021300,Ayuntamiento de Pamplona,Edificios públicos de interés,"Barroco, Neoclásico",PAMPLONA,Cuenca de Pamplona,"(42.818428, -1.644141)"
5021600,Barrio de San Pedro de la Rúa,Conjuntos históricos,"Barroco, Gótico, Renacentista, Románico",ESTELLA,Zona Media,"(42.66888549999999, -2.0293285)"
5020100,Basílica de Nuestra Señora del Puy,Iglesias y ermitas,Moderno,ESTELLA,Zona Media,"(42.67517530000001, -2.0301336)"
5020400,Cámara de Comptos,Castillos/Palacios,Gótico,PAMPLONA,Cuenca de Pamplona,"(42.8174347, -1.6458735)"
5020100,Capilla de San Fermín,Iglesias y ermitas,Neoclásico,PAMPLONA,Cuenca de Pamplona,"(42.8168479, -1.6491008)"
5021300,Casa del Vínculo,Edificios públicos de interés,no definido,PUENTE LA REINA,Zona Media,"(10.5053836, -66.91408009999999)"
5020200,Catedral de Santa María,Catedrales,"Gótico, Neoclásico",PAMPLONA,Cuenca de Pamplona,"(40.2225104, -74.76572639999999)"
5020100,Iglesia de San Miguel,Iglesias y ermitas,"Gótico, Románico",ESTELLA,Zona Media,"(32.68603179999999, -97.27110719999999)"
5020100,Iglesia de San Nicolás,Iglesias y ermitas,Gótico,PAMPLONA,Cuenca de Pamplona,"(28.6673993, -106.1142886)"
5020100,Iglesia de San Pedro de la Rúa,Iglesias y ermitas,"Gótico, Románico",ESTELLA,Zona Media,"(42.66888549999999, -2.0293285)"
5020100,Iglesia de San Saturnino,Iglesias y ermitas,"Barroco, Gótico",PAMPLONA,Cuenca de Pamplona,"(42.8182133, -1.6449881)"
5020100,Iglesia de Santiago el Mayor,Iglesias y ermitas,Románico,PUENTE LA REINA,Zona Media,"(41.6526763, -0.8853006)"
5020100,Iglesia del Crucifijo,Iglesias y ermitas,"Gótico, Románico",PUENTE LA REINA,Zona Media,"(42.6731287, -1.8107319)"
5020100,Iglesia del Santo Sepulcro,Iglesias y ermitas,"Gótico, Románico",ESTELLA,Zona Media,"(31.7784813, 35.2296002)"
5020100,Iglesia Santa María Jus del Castillo,Iglesias y ermitas,Románico,ESTELLA,Zona Media,"(42.66863170000001, -2.0267893)"
5020900,Monumento al Encierro,Escultura,Contemporáneo,PAMPLONA,Cuenca de Pamplona,"(42.814787, -1.6413238)"
5021400,Murallas de Pamplona,Conjuntos amurallados,Renacentista,PAMPLONA,Cuenca de Pamplona,"(42.8124662, -1.6494942)"
5020400,Palacio de los Reyes de Navarra / Museo Gustavo de Maeztu,Castillos/Palacios,Románico,ESTELLA,Zona Media,"(42.6693199, -2.0295577)"
5020400,Palacio de Navarra,Castillos/Palacios,Neoclásico,PAMPLONA,Cuenca de Pamplona,"(42.8159536, -1.6425586)"
5020400,Palacio del Condestable,Castillos/Palacios,Renacentista,PAMPLONA,Cuenca de Pamplona,"(42.8182832, -1.6454901)"
5021200,Plaza de Toros de Pamplona,Otros,no definido,PAMPLONA,Cuenca de Pamplona,"(42.8156478, -1.6399125)"
5020800,Puente Románico de Puente la Reina,Obras de ingeniería,Románico,PUENTE LA REINA,Zona Media,"(42.6711661, -1.8188069)"
