CÓDIGO,NOMBRE,MODALIDAD,CATEGORÍA,DIRECCIÓN,LOCALIDAD,ZONA,ESPECIALIDAD,COORDENADAS
ur000129,Adoquín de la Estafeta,Restaurantes,Sin definir,Calle de la Estafeta 81,PAMPLONA,Cuenca de Pamplona,Casera o regional,"(42.8163744, -1.641321)"
UR000011,Alhambra,Restaurantes,Lujo/ 4 Tenedores,Bergamín 7,PAMPLONA,Cuenca de Pamplona,Casera o regional,"(42.8127047, -1.6412544)"
UR000005,Alsafir,Restaurantes,Segunda/2 Tenedores,Castillo de Maya 39,PAMPLONA,Cuenca de Pamplona,Internacional,"(42.8103933, -1.6367607)"
uc000060,Amabella,Cafeterías,Segunda/1 Taza,Vuelta del Castillo 3,PAMPLONA,Cuenca de Pamplona,No definida,"(42.80814669999999, -1.6495808)"
UR000013,Amóstegui,Restaurantes,Sin definir,"Pozoblanco, 20-1º 0",PAMPLONA,Cuenca de Pamplona,Casera o regional,"(38.3770629, -4.8494709)"
ur000841,Anaitasuna,Restaurantes,Sin definir,Ciudadela 13,PAMPLONA,Cuenca de Pamplona,Casera o regional,"(39.4728152, -0.3673233)"
uc000154,Andrea,Cafeterías,Segunda/1 Taza,Marcelo Celayeta 105,PAMPLONA,Cuenca de Pamplona,No definida,"(42.829438, -1.6451329)"
uc000103,Anduriña,Cafeterías,Segunda/1 Taza,Zaragoza 65,PAMPLONA,Cuenca de Pamplona,No definida,"(25.9685341, -109.297136)"
UR001101,Ansoleaga,Restaurantes,Lujo/ 4 Tenedores,Calle Florencio de Ansoleaga  33,PAMPLONA,Cuenca de Pamplona,"Casera o regional, Innovadora","(42.81761179999999, -1.6451984)"
ur000143,Antigua Taberna Tabla Tomasa,Restaurantes,Sin definir,Mº de Iranzu 6,PAMPLONA,Cuenca de Pamplona,Internacional,"(42.7508438, -2.0386649)"
ur000365,Aragón,Restaurantes,Sin definir,Buenaventura Iñiguez 2,PAMPLONA,Cuenca de Pamplona,Casera o regional,"(42.8029397, -1.6446682)"
ur000207,Aralar,Restaurantes,Sin definir,Castillo de Maya 25,PAMPLONA,Cuenca de Pamplona,No definida,"(42.8120084, -1.6339725)"
uc000085,Arcos,Cafeterías,Segunda/1 Taza,Calle Pedro Malón de Chaide 7,PAMPLONA,Cuenca de Pamplona,No definida,"(42.8089252, -1.6669216)"
UR000956,Argileku,Restaurantes,Segunda/2 Tenedores,Olite 5 bajo,PAMPLONA,Cuenca de Pamplona,"Asador, Casera o regional","(42.481425, -1.6509768)"
UR001100,Artea,Restaurantes,Tercera/1 tenedor,"Av. Marcelo Celayeta, 35",PAMPLONA,Cuenca de Pamplona,No definida,"(42.826045, -1.6553477)"
