;COD. INSCRIPCIÓN;NOMBRE;MODALIDAD;CATEGORIA;DIRECCIÓN;LOCALIDAD;MUNICIPIO;ZONA;PLAZAS;FECHA DE INSCRIPCION
PAMPLONA;;;;;;;;;;
;UAT00704;22 Caldereros;Apartamento Turístico;Segunda/2 Llaves;Calle Caldereria 22 2º;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;3;12/12/2017 0:00:00
;UH000678;A Pamplona;Hotel;2 Estrellas;Calle Sancho Ramirez 15;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;24;19/02/1997 0:00:00
;UH000645;Abba Reino de Navarra;Hotel;4 Estrellas;Calle Acella 1;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;176;17/01/1996 0:00:00
;UHS00856;Abodi II;Hostal;HsG;Calle Sancho Ramírez 31;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;8;08/02/2010 0:00:00
;UH000503;AC Ciudad de Pamplona;Hotel;4 Estrellas;Iturrama 21;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;178;30/12/1978 0:00:00
;UHS00758;Acella 4;Hostal;HsG;Pintor Paret 2 2º E;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;16;07/05/2003 0:00:00
;UPE00655;Acella II;Pensión;P**;Travesía Acella 3 ;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;7;17/01/1996 0:00:00
;UAB00106;Albergue Plaza Catedral;Albergue turístico;del Camino de Santiago;Calle Navarreria 35;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;45;10/06/2015 0:00:00
;UH000652;Albret;Hotel;4 Estrellas;Ermitagaña 3;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;212;20/12/1995 0:00:00
;UAT00671;Alisol;Apartamento Turístico;Tercera/1 Llave;Calle San Gregorio 14;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;2;27/10/2017 0:00:00
