Codrecurso,URLNombreCast,Nombre,URLNombreBuscador,URLIdRecursoCategoria,CodCategoria,IdRecursoCategoria,IDCATEGORIA,NombreLocalidad,DescripZona,Path,ImgFichero,Tipo,ESTILO,Distancia,GEORR_X,GEORR_Y,DIPLOMACOMPROMISO
"2859","Acueducto de Noáin","Acueducto de Noáin","Patrimonio","","","4256","05020800","NOÁIN","Cuenca de Pamplona","05\02\08\00\","2859FOTOTH1.jpg","Obras de ingeniería","Moderno","","612270","4733591","NO"
"2998","Archivo Real y General de Navarra","Archivo Real y General de Navarra","Patrimonio","","","4257","05020400","PAMPLONA","Cuenca de Pamplona","05\02\04\00\","2998FotoTH1.jpg","Castillos/Palacios","","","610815","4741749","NO"
"2999","Ayuntamiento de Pamplona","Ayuntamiento de Pamplona","Patrimonio","","","4258","05021300","PAMPLONA","Cuenca de Pamplona","05\02\12\00\","2999FotoTH1.jpg","Edificios públicos de interés","Barroco, Neoclásico","","610832","4741543","NO"
"3307","Barrio de San Pedro de la Rúa","Barrio de San Pedro de la Rúa","Patrimonio","","","4336","05021600","ESTELLA-LIZARRA","Zona Media","05\02\12\00\","3307FotoTH1.jpg","Conjuntos históricos","Barroco, Gótico, Renacentista, Románico","","579502","4724466","NO"
"3159","Basílica de Nuestra Señora del Puy","Basílica de Nuestra Señora del Puy","Patrimonio","","","4322","05020100","ESTELLA-LIZARRA","Zona Media","05\02\01\00\","3159FotoTH1.jpg","Iglesias y ermitas","Moderno","","579485","4725254","NO"
"5227","Basílica de Nuestra Señora del Romero","Basílica de Nuestra Señora del Romero","Patrimonio","","","4361","05020100","CASCANTE","La Ribera","05\02\01\00\","5227FotoTH2.JPG","Iglesias y ermitas","Barroco","","609148","4650514","NO"
"3122","Basílica San Gregorio Ostiense","Basílica San Gregorio Ostiense","Patrimonio","","","4293","05020100","SORLADA","Zona Media","05\02\01\00\","3122FotoTH1.jpg","Iglesias y ermitas","Barroco","","564264","4717944","NO"
"3001","Cámara de Comptos","Cámara de Comptos","Patrimonio","","","4259","05020400","PAMPLONA","Cuenca de Pamplona","05\02\04\00\","3001FotoTH1.JPG","Castillos/Palacios","Gótico","","610715","4741443","NO"
"3003","Capilla de San Fermín","Capilla de San Fermín","Patrimonio","","","4260","05020100","PAMPLONA","Cuenca de Pamplona","05\02\01\00\","3003FotoTH2.jpg","Iglesias y ermitas","Neoclásico","","610457","4741349","NO"
"5431","Casa del Vínculo","Casa del Vínculo","Patrimonio","","","4371","05021300","PUENTE LA REINA","Zona Media","05\02\12\00\","5431FotoTH1.jpg","Edificios públicos de interés","","","596883","4724992","NO"
"5414","Castillo de Cortes","Castillo de Cortes","Patrimonio","","","4369","05020400","CORTES","La Ribera","05\02\04\00\","5414FotoTH1.JPG","Castillos/Palacios","","","630481","4642415","NO"
"3110","Castillo de Javier","Castillo de Javier","Patrimonio","","","4283","05020400","JAVIER","Zona Media","05\02\05\00\","3110FotoTH1.jpg","Castillos/Palacios","","","646384","4717253","NO"
"6050","Castillo de Marcilla","Castillo de Marcilla","Patrimonio","","","5992","05020400","MARCILLA","La Ribera","05\02\05\00\","6050FotoTH3.JPG","Castillos/Palacios","Gótico","","603890","4686819","NO"
"3004","Catedral de Santa María","Catedral de Santa María","Patrimonio","","","4261","05020200","PAMPLONA","Cuenca de Pamplona","05\02\02\00\","3004FotoTH1.jpg","Catedrales","Gótico, Neoclásico","","611101","4741689","NO"
"3024","Catedral de Santa María","Catedral de Santa María","Patrimonio","","","4268","05020200","TUDELA","La Ribera","05\02\02\00\","3024FotoTH1.jpg","Catedrales","Barroco, Gótico, Románico","","615402","4657779","NO"
"3060","Colegiata de Santa María de Orreaga/Roncesvalles","Colegiata de Santa María de Orreaga/Roncesvalles","Patrimonio","","","4280","05020100","ORREAGA/RONCESVALLES","Pirineos","05\02\01\00\","3060FotoTH1.jpg","Iglesias y ermitas","Gótico","","636954","4763286","NO"
"3112","Convento de San Francisco de Asís","Convento de San Francisco de Asís","Patrimonio","","","4285","05020100","SANGÜESA","Zona Media","05\02\01\00\","3112FOTOTH1.jpg","Iglesias y ermitas","Gótico","","641073","4715082","NO"
"6590","Cuevas de Arguedas","Cuevas de Arguedas","Patrimonio","","","6478","05021800","ARGUEDAS","La Ribera","05\02\18\00\","6590FotoTH1.JPG","Patrimonio etnográfico","","","615721","4670312","NO"
"3115","Dólmenes del Portillo de Enériz y Mina de Farangortea","Dólmenes del Portillo de Enériz y Mina de Farangortea","Patrimonio","","","4288","05020700","ARTAJONA","Zona Media","05\02\07\00\","3115FotoTH1.JPG","Monumentos megalíticos","Prehistoria","","602380","4719966","NO"
"6554","Edificio Castel-Ruiz","Edificio Castel-Ruiz","Patrimonio","","","6436","05021300","TUDELA","La Ribera","05\02\13\00\","6554FotoTH2.JPG","Edificios públicos de interés","Renacentista","","615218","4657739","NO"
"3111","El Cerco de Artajona","El Cerco de Artajona","Patrimonio","","","4284","05021400","ARTAJONA","Zona Media","05\02\14\00\","3111FotoTH1.JPG","Conjuntos amurallados","Gótico, Románico","","601272","4716206","NO"
"3038","Ermita de Santa María de Arce","Ermita de Santa María de Arce","Patrimonio","","","4276","05020100","ARCE","Pirineos","05\02\01\00\","3038FotoTH1.jpg","Iglesias y ermitas","Románico","","632649","4747103","NO"
"5042","Ermita de Santa María del Campo","Ermita de Santa María del Campo","Patrimonio","","","4355","05020100","NAVASCUÉS","Pirineos","05\02\01\00\","5042FotoTH1.jpg","Iglesias y ermitas","Románico","","653765","4731481","NO"
"4464","Fábrica de armas","Fábrica de armas","Patrimonio","","","4343","05020600","ORBAIZETA","Pirineos","05\02\06\00\","4464FotoTH1.JPG","Restos arqueológicos","","","644475","4762180","NO"
"5239","Fábrica de armas de Eugi","Fábrica de armas de Eugi","Patrimonio","","","4363","05020600","EUGI","Pirineos","05\02\06\00\","5239FotoTH1.JPG","Restos arqueológicos","","","623666","4763728","NO"
"3040","Hórreos del Valle de Aezkoa","Hórreos del Valle de Aezkoa","Patrimonio","","","4277","05021500","ARIBE","Pirineos","05\02\12\00\","3040FotoTH2.jpg","Hórreos","","","644369","4759516","NO"
"3008","Iglesia de Gazólaz","Iglesia de Gazólaz","Patrimonio","","","4264","05020100","GAZÓLAZ","Cuenca de Pamplona","05\02\01\00\","3008FotoTH1.jpg","Iglesias y ermitas","Románico","","604856","4738469","NO"
"5308","Iglesia de la Natividad","Iglesia de la Natividad","Patrimonio","","","4366","05020100","GARÍSOAIN","Zona Media","05\02\01\00\","5308FotoTH1.jpg","Iglesias y ermitas","Gótico, Románico","","589064","4730220","NO"
"4162","Iglesia de San Martín de Artáiz","Iglesia de San Martín de Artáiz","Patrimonio","","","4341","05020100","ARTÁIZ","Pirineos","05\02\01\00\","4162FotoTH1.jpg","Iglesias y ermitas","Románico","","625145","4733985","NO"
"5254","Iglesia de San Martín de Tours","Iglesia de San Martín de Tours","Patrimonio","","","4364","05020100","SAN MARTÍN DE UNX","Zona Media","05\02\01\00\","5254FotoTH1.jpg","Iglesias y ermitas","Románico","","618210","4709136","NO"
"3165","Iglesia de San Miguel","Iglesia de San Miguel","Patrimonio","","","4328","05020100","ESTELLA-LIZARRA","Zona Media","05\02\01\00\","3165FotoTH1.jpg","Iglesias y ermitas","Gótico, Románico","","579618","4724723","NO"
"4952","Iglesia de San Miguel","Iglesia de San Miguel","Patrimonio","","","4353","05020100","CORELLA","La Ribera","05\02\01\00\","4952FotoTH1.jpg","Iglesias y ermitas","Barroco","","600416","4663175","NO"
"3007","Iglesia de San Nicolás","Iglesia de San Nicolás","Patrimonio","","","4263","05020100","PAMPLONA","Cuenca de Pamplona","05\02\01\00\","3007FotoTH1.jpg","Iglesias y ermitas","Gótico","","610781","4741242","NO"
"3161","Iglesia de San Pedro","Iglesia de San Pedro","Patrimonio","","","4324","05020100","OLITE","Zona Media","05\02\01\00\","3161FotoTH3.JPG","Iglesias y ermitas","Barroco, Gótico, Románico","","611120","4703986","NO"
"3162","Iglesia de San Pedro de la Rúa","Iglesia de San Pedro de la Rúa","Patrimonio","","","4325","05020100","ESTELLA-LIZARRA","Zona Media","05\02\01\00\","3162FotoTH1.JPG","Iglesias y ermitas","Gótico, Románico","","579544","4724507","NO"
"5316","Iglesia de San Pedro de Lezáun","Iglesia de San Pedro de Lezáun","Patrimonio","","","4368","05020100","LEZÁUN","Zona Media","05\02\01\00\","5316FotoTH1.jpg","Iglesias y ermitas","Gótico, Románico","","582312","4736542","NO"
"3009","Iglesia de San Saturnino","Iglesia de San Saturnino","Patrimonio","","","4265","05020100","PAMPLONA","Cuenca de Pamplona","05\02\01\00\","3009FotoTH1.jpg","Iglesias y ermitas","Barroco, Gótico","","610777","4741507","NO"
"3160","Iglesia de Santa María","Iglesia de Santa María","Patrimonio","","","4323","05020100","LOS ARCOS","Zona Media","05\02\01\00\","3160FotoTH1.jpg","Iglesias y ermitas","Barroco, Renacentista, Románico","","566275","4713256","NO"
"3170","Iglesia de Santa María","Iglesia de Santa María","Patrimonio","","","4332","05020100","VIANA","Zona Media","05\02\01\00\","3170FotoTH1.jpg","Iglesias y ermitas","Gótico, Renacentista","","551632","4707167","NO"
"4816","Iglesia de Santa María de Eguiarte","Iglesia de Santa María de Eguiarte","Patrimonio","","","4350","05020100","LÁCAR","Zona Media","05\02\01\00\","4816FotoTH1.jpg","Iglesias y ermitas","Barroco, Románico","","588870","4728106","NO"
"3118","Iglesia de Santa María de Eunate","Iglesia de Santa María de Eunate","Patrimonio","","","4289","05020100","MURUZÁBAL","Zona Media","05\02\01\00\","3118FotoTH1.JPG","Iglesias y ermitas","Románico","","601482","4725159","NO"
"3147","Iglesia de Santa María la Real","Iglesia de Santa María la Real","Patrimonio","","","4311","05020100","OLITE","Zona Media","05\02\01\00\","3147FOTOTH1.jpg","Iglesias y ermitas","Gótico","","610963","4704152","NO"
